"Index","EAFE.Close"
1971-12-31,117.415
1972-01-31,124.253
1972-02-29,132.409
1972-03-31,136.776
1972-04-30,140.059
1972-05-31,144.615
1972-06-30,140.785
1972-07-31,148.39
1972-08-31,150.05
1972-09-30,145.169
1972-10-31,146.706
1972-11-30,156.375
1972-12-31,161.561
1973-01-31,164.348
1973-02-28,177.943
1973-03-31,179.071
1973-04-30,169.046
1973-05-31,173.165
1973-06-30,177.458
1973-07-31,175.28
1973-08-31,166.387
1973-09-30,165.286
1973-10-31,168.861
1973-11-30,144.578
1973-12-31,138.673
1974-01-31,139.62
1974-02-28,144.271
1974-03-31,140.555
1974-04-30,144.349
1974-05-31,138.737
1974-06-30,132.476
1974-07-31,125.79
1974-08-31,112.856
1974-09-30,104.696
1974-10-31,105.654
1974-11-30,109.043
1974-12-31,107.96
1975-01-31,127.257
1975-02-28,144.063
1975-03-31,142.545
1975-04-30,149.308
1975-05-31,148.207
1975-06-30,142.461
1975-07-31,136.615
1975-08-31,136.433
1975-09-30,130.25
1975-10-31,141.505
1975-11-30,144.882
1975-12-31,148.016
1976-01-31,155.855
1976-02-29,154.68
1976-03-31,152.083
1976-04-30,151.399
1976-05-31,147.312
1976-06-30,149.792
1976-07-31,148.046
1976-08-31,148.146
1976-09-30,145.602
1976-10-31,136.324
1976-11-30,138.006
1976-12-31,153.551
1977-01-31,152.66
1977-02-28,156.049
1977-03-31,156.558
1977-04-30,161.153
1977-05-31,160.507
1977-06-30,164.115
1977-07-31,161.667
1977-08-31,168.83
1977-09-30,173.87
1977-10-31,178.249
1977-11-30,176.773
1977-12-31,183.378
1978-01-31,185.78
1978-02-28,187.965
1978-03-31,201.713
1978-04-30,200.31
1978-05-31,204.467
1978-06-30,213.757
1978-07-31,232.444
1978-08-31,237.232
1978-09-30,244.38
1978-10-31,258.529
1978-11-30,234.568
1978-12-31,246.278
1979-01-31,247.841
1979-02-28,246.604
1979-03-31,252.371
1979-04-30,251.438
1979-05-31,246.267
1979-06-30,250.721
1979-07-31,253.72
1979-08-31,259.893
1979-09-30,271.362
1979-10-31,249.76
1979-11-30,252.921
1979-12-31,261.505
1980-01-31,274.173
1980-02-29,273.073
1980-03-31,244.082
1980-04-30,267.178
1980-05-31,279.649
1980-06-30,297.509
1980-07-31,296.037
1980-08-31,306.32
1980-09-30,317.047
1980-10-31,330.402
1980-11-30,323.738
1980-12-31,325.389
1981-01-31,320.948
1981-02-28,316.701
1981-03-31,328.147
1981-04-30,337.058
1981-05-31,322.872
1981-06-30,325.175
1981-07-31,312.035
1981-08-31,319.419
1981-09-30,287.693
1981-10-31,292.477
1981-11-30,325.029
1981-12-31,322.03
1982-01-31,319.915
1982-02-28,299.57
1982-03-31,285.041
1982-04-30,303.578
1982-05-31,299.643
1982-06-30,277.265
1982-07-31,274.065
1982-08-31,274.242
1982-09-30,272.512
1982-10-31,273.676
1982-11-30,295.659
1982-12-31,319.265
1983-01-31,316.575
1983-02-28,325.398
1983-03-31,338.103
1983-04-30,357.471
1983-05-31,355.788
1983-06-30,363.972
1983-07-31,364.884
1983-08-31,359.133
1983-09-30,373.162
1983-10-31,372.931
1983-11-30,381.876
1983-12-31,397.839
1984-01-31,415.705
1984-02-29,419.578
1984-03-31,459.091
1984-04-30,451.593
1984-05-31,405.869
1984-06-30,405.505
1984-07-31,379.642
1984-08-31,411.946
1984-09-30,408.449
1984-10-31,418.804
1984-11-30,420.528
1984-12-31,429.126
1985-01-31,438.908
1985-02-28,436.447
1985-03-31,470.444
1985-04-30,468.979
1985-05-31,489.052
1985-06-30,501.767
1985-07-31,527.844
1985-08-31,544.96
1985-09-30,577.023
1985-10-31,616.459
1985-11-30,641.95
1985-12-31,672.543
1986-01-31,689.599
1986-02-28,766.2
1986-03-31,874.157
1986-04-30,931.632
1986-05-31,890.422
1986-06-30,951.362
1986-07-31,1010.254
1986-08-31,1110.08
1986-09-30,1098.944
1986-10-31,1025.779
1986-11-30,1085.135
1986-12-31,1142.915
1987-01-31,1264.556
1987-02-28,1302.724
1987-03-31,1409.793
1987-04-30,1559.21
1987-05-31,1559.49
1987-06-30,1510.091
1987-07-31,1507.718
1987-08-31,1621.081
1987-09-30,1595.857
1987-10-31,1372.544
1987-11-30,1386.374
1987-12-31,1427.882
1988-01-31,1453.699
1988-02-29,1550.973
1988-03-31,1646.63
1988-04-30,1670.863
1988-05-31,1617.675
1988-06-30,1575.368
1988-07-31,1625.118
1988-08-31,1519.773
1988-09-30,1586.482
1988-10-31,1722.598
1988-11-30,1825.569
1988-12-31,1836.072
1989-01-31,1868.754
1989-02-28,1878.721
1989-03-31,1842.209
1989-04-30,1859.659
1989-05-31,1758.804
1989-06-30,1729.588
1989-07-31,1947.143
1989-08-31,1859.935
1989-09-30,1945
1989-10-31,1867.234
1989-11-30,1961.482
1989-12-31,2034.327
1990-01-31,1959.045
1990-02-28,1822.729
1990-03-31,1633.218
1990-04-30,1620.691
1990-05-31,1806.109
1990-06-30,1790.634
1990-07-31,1816.319
1990-08-31,1640.431
1990-09-30,1412.291
1990-10-31,1632.806
1990-11-30,1536.955
1990-12-31,1562.452
1991-01-31,1613.428
1991-02-28,1786.86
1991-03-31,1680.021
1991-04-30,1697.008
1991-05-31,1715.216
1991-06-30,1589.629
1991-07-31,1668.162
1991-08-31,1634.693
1991-09-30,1727.313
1991-10-31,1752.232
1991-11-30,1670.895
1991-12-31,1757.709
1992-01-31,1720.68
1992-02-29,1659.565
1992-03-31,1550.467
1992-04-30,1558.23
1992-05-31,1663.01
1992-06-30,1584.682
1992-07-31,1544.632
1992-08-31,1642.039
1992-09-30,1610.135
1992-10-31,1526.165
1992-11-30,1540.995
1992-12-31,1549.432
1993-01-31,1549.705
1993-02-28,1596.974
1993-03-31,1736.642
1993-04-30,1901.931
1993-05-31,1942.564
1993-06-30,1912.704
1993-07-31,1980.098
1993-08-31,2087.439
1993-09-30,2040.91
1993-10-31,2104.254
1993-11-30,1920.762
1993-12-31,2059.891
1994-01-31,2234.489
1994-02-28,2228.759
1994-03-31,2133.238
1994-04-30,2224.224
1994-05-31,2211.928
1994-06-30,2243.683
1994-07-31,2265.755
1994-08-31,2319.896
1994-09-30,2247.338
1994-10-31,2322.699
1994-11-30,2211.58
1994-12-31,2225.946
1995-01-31,2140.964
1995-02-28,2135.368
1995-03-31,2269.152
1995-04-30,2355.097
1995-05-31,2327.63
1995-06-30,2287.429
1995-07-31,2430.458
1995-08-31,2338.335
1995-09-30,2384.611
1995-10-31,2321.124
1995-11-30,2386.313
1995-12-31,2483.068
1996-01-31,2493.853
1996-02-29,2502.905
1996-03-31,2556.691
1996-04-30,2631.652
1996-05-31,2583.853
1996-06-30,2599.028
1996-07-31,2523.715
1996-08-31,2529.896
1996-09-30,2597.744
1996-10-31,2571.806
1996-11-30,2674.776
1996-12-31,2641.011
1997-01-31,2549.193
1997-02-28,2591.503
1997-03-31,2601.526
1997-04-30,2615.959
1997-05-31,2786.838
1997-06-30,2941.159
1997-07-31,2989.345
1997-08-31,2766.701
1997-09-30,2922.314
1997-10-31,2698.331
1997-11-30,2671.446
1997-12-31,2695.362
1998-01-31,2819.257
1998-02-28,3000.812
1998-03-31,3093.89
1998-04-30,3119.083
1998-05-31,3104.652
1998-06-30,3128.846
1998-07-31,3161.262
1998-08-31,2770.313
1998-09-30,2686.104
1998-10-31,2966.861
1998-11-30,3119.593
1998-12-31,3243.415
1999-01-31,3234.571
1999-02-28,3158.231
1999-03-31,3290.827
1999-04-30,3424.924
1999-05-31,3249.295
1999-06-30,3376.725
1999-07-31,3477.87
1999-08-31,3491.348
1999-09-30,3527.269
1999-10-31,3660.157
1999-11-30,3788.082
1999-12-31,4128.811
2000-01-31,3867.191
2000-02-29,3972.026
2000-03-31,4126.765
2000-04-30,3910.344
2000-05-31,3815.607
2000-06-30,3965.721
2000-07-31,3800.234
2000-08-31,3833.998
2000-09-30,3648.073
2000-10-31,3562.64
2000-11-30,3429.802
2000-12-31,3552.511
2001-01-31,3550.836
2001-02-28,3284.896
2001-03-31,3067.401
2001-04-30,3282.539
2001-05-31,3169.291
2001-06-30,3040.863
2001-07-31,2985.777
2001-08-31,2910.761
2001-09-30,2616.596
2001-10-31,2683.504
2001-11-30,2782.599
2001-12-31,2799.187
2002-01-31,2650.667
2002-02-28,2669.387
2002-03-31,2815.12
2002-04-30,2835.507
2002-05-31,2873.973
2002-06-30,2760.641
2002-07-31,2488.321
2002-08-31,2483.262
2002-09-30,2217.192
2002-10-31,2336.528
2002-11-30,2442.872
2002-12-31,2360.913
2003-01-31,2262.53
2003-02-28,2210.81
2003-03-31,2169.029
2003-04-30,2384.105
2003-05-31,2530.776
2003-06-30,2593.412
2003-07-31,2656.578
2003-08-31,2721.194
2003-09-30,2805.62
2003-10-31,2980.67
2003-11-30,3047.363
2003-12-31,3285.575
2004-01-31,3332.279
2004-02-29,3409.77
2004-03-31,3430.292
2004-04-30,3355.605
2004-05-31,3370.137
2004-06-30,3445.348
2004-07-31,3334.01
2004-08-31,3349.489
2004-09-30,3437.522
2004-10-31,3554.949
2004-11-30,3798.783
2004-12-31,3965.613
2005-01-31,3893.15
2005-02-28,4062.258
2005-03-31,3961.777
2005-04-30,3873.099
2005-05-31,3879.024
2005-06-30,3932.047
2005-07-31,4052.836
2005-08-31,4156.416
2005-09-30,4342.375
2005-10-31,4215.854
2005-11-30,4320.1
2005-12-31,4521.407
2006-01-31,4799.333
2006-02-28,4789.503
2006-03-31,4949.706
2006-04-30,5189.762
2006-05-31,4994.462
2006-06-30,4996.294
2006-07-31,5046.325
2006-08-31,5186.454
2006-09-30,5195.479
2006-10-31,5398.015
2006-11-30,5560.833
2006-12-31,5735.743
2007-01-31,5774.995
2007-02-28,5822.434
2007-03-31,5973.605
2007-04-30,6244.508
2007-05-31,6362.214
2007-06-30,6372.029
2007-07-31,6278.868
2007-08-31,6182.248
2007-09-30,6514.178
2007-10-31,6770.854
2007-11-30,6549.957
2007-12-31,6402.91
2008-01-31,5812.047
2008-02-29,5897.117
2008-03-31,5837.903
2008-04-30,6162.273
2008-05-31,6233.993
2008-06-30,5725.399
2008-07-31,5542.113
2008-08-31,5318.98
2008-09-30,4551.75
2008-10-31,3633.501
2008-11-30,3438.81
2008-12-31,3645.936
2009-01-31,3288.719
2009-02-28,2952.376
2009-03-31,3140.958
2009-04-30,3548.076
2009-05-31,3974.303
2009-06-30,3952.861
2009-07-31,4314.255
2009-08-31,4549.445
2009-09-30,4724.497
2009-10-31,4665.679
2009-11-30,4760.245
2009-12-31,4829.423
2010-01-31,4616.955
2010-02-28,4585.758
2010-03-31,4874.919
2010-04-30,4790.74
2010-05-31,4246.167
2010-06-30,4204.858
2010-07-31,4604.002
2010-08-31,4461.688
2010-09-30,4899.896
2010-10-31,5077.17
2010-11-30,4834.023
2010-12-31,5225.887
2011-01-31,5349.895
2011-02-28,5527.526
2011-03-31,5406.146
2011-04-30,5734.642
2011-05-31,5573.711
2011-06-30,5505.29
2011-07-31,5418.7
2011-08-31,4930.059
2011-09-30,4461.867
2011-10-31,4892.316
2011-11-30,4656.26
2011-12-31,4612.71
2012-01-31,4859.632
2012-02-29,5139.968
2012-03-31,5119.19
2012-04-30,5024.896
2012-05-31,4454.41
2012-06-30,4768.428
2012-07-31,4823.088
2012-08-31,4953.131
2012-09-30,5101.399
2012-10-31,5144.258
2012-11-30,5269.064
2012-12-31,5438.296
2013-01-31,5726.115
2013-02-28,5673.236
2013-03-31,5722.91
2013-04-30,6027.966
2013-05-31,5888.985
2013-06-30,5681.14
2013-07-31,5981.359
2013-08-31,5902.884
2013-09-30,6340.633
2013-10-31,6553.941
2013-11-30,6605.244
2013-12-31,6705.113
2014-01-31,6435.696
2014-02-28,6795.158
2014-03-31,6756.717
2014-04-30,6860.03
2014-05-31,6980.509
2014-06-30,7049.963
2014-07-31,6911.723
2014-08-31,6901.688
2014-09-30,6638.926
2014-10-31,6542.744
2014-11-30,6632.525
2014-12-31,6404.509
2015-01-31,6436.384
2015-02-28,6821.877
2015-03-31,6724.451
2015-04-30,7004.415
2015-05-31,6976.604
2015-06-30,6780.922
2015-07-31,6922.013
2015-08-31,6413.541
2015-09-30,6090.197
2015-10-31,6566.639
2015-11-30,6465.259
2015-12-31,6379.335
2016-01-31,5918.618
2016-02-29,5812.245
2016-03-31,6195.506
2016-04-30,6381.655
2016-05-31,6331.648
2016-06-30,6121.747
2016-07-31,6432.497
2016-08-31,6437.892
2016-09-30,6519.887
2016-10-31,6386.988
2016-11-30,6260.544
2016-12-31,6475.802
